request_id,request_date,barangay_name,service_category,channel,priority,status,resolution_hours_synth,citizen_satisfaction_1_5_synth,repeat_request_synth,remarks_synth
SR-0108,2026-09-09,Banaybanay,Disaster Concern,Mobile App,Normal,Closed,22.1,4,Yes,
SR-0109,2026-03-28,San Carlos,Permits/Inquiry,Walk-in,High,Closed,9.6,3,No,
SR-0110,2026-08-16,Anilao,Streetlight,Barangay Referral,Normal,Closed,11.1,4,No,Requires site validation
SR-0111,2026-07-19,San Benito,Water,Barangay Referral,Normal,Closed,18.6,3,No,Citizen follow-up received
SR-0112,2026-01-07,Tambo,Water,Hotline,Low,Closed,9.4,3,No,
SR-0113,2026-02-04,Munting Pulo,Peace and Order,Hotline,Normal,Closed,7.0,4,Yes,Requires site validation
SR-0114,2026-04-07,Tanguay,Peace and Order,Mobile App,Normal,In Progress,13.6,,No,Citizen follow-up received
SR-0115,2026-03-09,San Lucas,Streetlight,Web Form,Normal,Closed,20.2,4,No,Requires site validation
SR-0116,2026-02-04,Bolbok,Water,Hotline,High,Pending Validation,12.4,,No,Citizen follow-up received
SR-0117,2026-02-15,Cumba,Peace and Order,Hotline,High,Closed,16.7,3,No,Citizen follow-up received
SR-0118,2026-01-21,Pusil,Solid Waste,Walk-in,Normal,Closed,16.7,4,Yes,Requires site validation
SR-0119,2026-06-22,Dagatan,Solid Waste,Barangay Referral,Low,Closed,46.2,4,No,Forwarded to concerned office
SR-0120,2026-05-25,Bolbok,Health,Walk-in,Normal,Closed,42.1,4,No,Requires site validation
SR-0121,2026-08-11,Lodlod,Water,Walk-in,Normal,Closed,28.3,3,No,Citizen follow-up received
SR-0122,2026-06-18,San Sebastian,Road/Drainage,Mobile App,Normal,Closed,9.2,4,Yes,
SR-0123,2026-02-06,Bugtong na Pulo,Solid Waste,Web Form,High,Closed,3.8,5,No,Forwarded to concerned office
SR-0124,2026-04-12,Marauoy,Solid Waste,Walk-in,Low,Closed,26.9,4,No,
SR-0125,2026-08-10,Banaybanay,Water,Mobile App,High,Closed,6.6,5,Yes,Requires site validation
SR-0126,2026-01-01,Inosloban,Water,Barangay Referral,High,Closed,8.9,4,No,Forwarded to concerned office
SR-0127,2026-09-07,Pinagtongulan,Solid Waste,Web Form,Normal,Closed,22.7,4,No,Forwarded to concerned office
SR-0128,2026-04-13,Barangay 12,Solid Waste,Web Form,High,Closed,17.1,3,No,Requires site validation
SR-0129,2026-06-10,Bolbok,Solid Waste,Walk-in,Normal,Closed,30.6,3,No,Forwarded to concerned office
SR-0130,2026-02-22,San Lucas,Water,Hotline,Normal,In Progress,20.2,,No,Requires site validation
SR-0131,2026-06-11,Tibig,Road/Drainage,Barangay Referral,Normal,Closed,21.6,4,No,
SR-0132,2026-09-03,Pangao,Permits/Inquiry,Mobile App,High,Closed,8.8,4,No,Citizen follow-up received
SR-0133,2026-02-14,Sabang,Streetlight,Hotline,High,Closed,11.8,5,No,Citizen follow-up received
SR-0134,2026-01-11,Pangao,Water,Walk-in,Urgent,Pending Validation,5.3,,Yes,Citizen follow-up received
SR-0135,2026-07-24,Poblacion Barangay 2,Water,Mobile App,High,Closed,12.3,4,No,Forwarded to concerned office
SR-0136,2026-06-01,San Salvador,Streetlight,Web Form,Normal,In Progress,31.0,,No,Citizen follow-up received
SR-0137,2026-04-14,Balintawak,Road/Drainage,Web Form,High,Closed,6.1,3,No,Forwarded to concerned office
SR-0138,2026-01-08,San Jose,Health,Web Form,Normal,Closed,20.8,3,No,
SR-0139,2026-03-06,Pangao,Peace and Order,Barangay Referral,Normal,In Progress,36.1,,Yes,Citizen follow-up received
SR-0140,2026-07-26,Marauoy,Road/Drainage,Barangay Referral,Normal,Closed,21.7,3,No,Forwarded to concerned office
SR-0141,2026-07-29,San Francisco,Permits/Inquiry,Walk-in,Normal,In Progress,7.2,,No,Forwarded to concerned office
SR-0142,2026-05-16,Sapac,Water,Barangay Referral,High,Pending Validation,4.5,,No,
SR-0143,2026-05-31,Inosloban,Health,Barangay Referral,Normal,Closed,47.1,4,No,Forwarded to concerned office
SR-0144,2026-07-03,Sabang,Solid Waste,Barangay Referral,Normal,Closed,16.4,5,No,Requires site validation
SR-0145,2026-03-11,San Carlos,Solid Waste,Barangay Referral,High,Closed,14.8,4,Yes,Citizen follow-up received
SR-0146,2026-08-21,Tambo,Peace and Order,Hotline,Normal,In Progress,17.0,,Yes,Citizen follow-up received
SR-0147,2026-07-10,Sabang,Streetlight,Walk-in,Normal,Closed,17.2,5,No,Forwarded to concerned office
SR-0148,2026-03-02,Bagong Pook,Disaster Concern,Barangay Referral,Urgent,Closed,15.9,3,No,Requires site validation
SR-0149,2026-08-26,Antipolo Del Sur,Disaster Concern,Mobile App,High,Closed,6.9,4,Yes,
SR-0150,2026-01-07,Balintawak,Peace and Order,Hotline,Normal,Closed,30.6,4,No,
SR-0151,2026-05-23,San Francisco,Streetlight,Web Form,Normal,In Progress,9.4,,No,Citizen follow-up received
SR-0152,2026-06-06,San Salvador,Permits/Inquiry,Barangay Referral,Normal,Closed,32.3,5,No,
SR-0153,2026-09-04,Tambo,Health,Barangay Referral,High,Closed,3.8,3,No,Citizen follow-up received
SR-0154,2026-02-10,Mabini,Streetlight,Barangay Referral,Normal,In Progress,42.6,,No,Forwarded to concerned office
SR-0155,2026-06-30,Sapac,Permits/Inquiry,Barangay Referral,Normal,Closed,10.0,4,Yes,Requires site validation
SR-0156,2026-03-04,Rizal,Disaster Concern,Web Form,Normal,Closed,11.5,5,No,Forwarded to concerned office
SR-0157,2026-01-22,Adya,Health,Mobile App,Normal,Closed,29.8,5,No,Forwarded to concerned office
SR-0158,2026-03-10,Lodlod,Streetlight,Barangay Referral,Normal,Closed,20.7,5,Yes,Requires site validation
SR-0159,2026-08-31,Anilao,Solid Waste,Mobile App,High,Closed,14.4,4,Yes,Requires site validation
SR-0160,2026-08-24,Marauoy,Health,Barangay Referral,Low,Closed,25.5,3,No,Citizen follow-up received
SR-0161,2026-08-07,Kayumanggi,Road/Drainage,Hotline,Normal,Closed,25.6,5,No,
SR-0162,2026-05-30,Malagonlong,Streetlight,Web Form,High,Closed,17.6,5,Yes,Requires site validation
SR-0163,2026-08-28,Sapac,Health,Mobile App,Normal,Closed,27.9,5,No,Requires site validation
SR-0164,2026-04-15,Halang,Solid Waste,Web Form,Normal,Closed,43.8,3,Yes,
SR-0165,2026-09-19,Pinagtongulan,Permits/Inquiry,Barangay Referral,Normal,Closed,6.4,4,Yes,Citizen follow-up received
SR-0166,2026-02-14,Bagong Pook,Water,Barangay Referral,Normal,Closed,50.1,4,No,
SR-0167,2026-08-11,Mabini,Peace and Order,Mobile App,High,Closed,11.9,4,No,
SR-0168,2026-07-10,Marauoy,Disaster Concern,Web Form,Normal,Closed,52.8,3,No,Requires site validation
SR-0169,2026-03-12,Balintawak,Health,Hotline,Normal,Closed,13.9,4,No,Forwarded to concerned office
SR-0170,2026-01-12,Pagolingin West,Solid Waste,Walk-in,Normal,Closed,15.7,5,No,
SR-0171,2026-01-18,Bugtong na Pulo,Permits/Inquiry,Barangay Referral,High,In Progress,17.4,,Yes,Forwarded to concerned office
SR-0172,2026-07-28,Sabang,Solid Waste,Web Form,Normal,Closed,18.6,5,No,Citizen follow-up received
SR-0173,2026-03-05,Marauoy,Disaster Concern,Web Form,High,Closed,12.3,4,No,
SR-0174,2026-06-29,Banaybanay,Solid Waste,Hotline,Normal,Closed,12.6,4,Yes,Requires site validation
SR-0175,2026-03-26,Bugtong na Pulo,Solid Waste,Mobile App,Normal,In Progress,24.6,,Yes,Citizen follow-up received
SR-0176,2026-05-16,San Celestino,Health,Walk-in,Urgent,Closed,5.9,4,No,Forwarded to concerned office
SR-0177,2026-02-23,Bolbok,Health,Web Form,High,Closed,15.1,5,No,Forwarded to concerned office
SR-0178,2026-07-15,Sampaguita,Health,Barangay Referral,Normal,Closed,18.0,5,No,
SR-0179,2026-09-21,Pinagkawitan,Road/Drainage,Web Form,Normal,Closed,45.6,5,No,
SR-0180,2026-04-23,Bulacnin,Disaster Concern,Barangay Referral,Normal,In Progress,35.0,,No,Forwarded to concerned office
SR-0181,2026-03-01,Bugtong na Pulo,Permits/Inquiry,Mobile App,Normal,Closed,7.4,4,Yes,Citizen follow-up received
SR-0182,2026-03-04,Tambo,Peace and Order,Barangay Referral,High,Closed,2.1,5,Yes,Citizen follow-up received
SR-0183,2026-01-31,Sampaguita,Water,Barangay Referral,Low,Closed,30.0,4,No,Forwarded to concerned office
SR-0184,2026-09-01,Bolbok,Solid Waste,Barangay Referral,Normal,Closed,20.8,5,No,Citizen follow-up received
SR-0185,2026-09-06,Tibig,Permits/Inquiry,Mobile App,Low,Closed,61.7,4,No,Requires site validation
SR-0186,2026-05-13,Sabang,Permits/Inquiry,Web Form,Normal,Closed,25.3,4,No,Requires site validation
SR-0187,2026-08-06,Pangao,Water,Hotline,Low,In Progress,11.3,,Yes,Citizen follow-up received
SR-0188,2026-09-10,Pusil,Peace and Order,Web Form,Normal,Closed,7.4,4,No,Forwarded to concerned office
SR-0189,2026-01-19,Marauoy,Streetlight,Web Form,Normal,Closed,15.6,4,Yes,Forwarded to concerned office
SR-0190,2026-05-21,Inosloban,Streetlight,Mobile App,Normal,Closed,13.7,4,Yes,Citizen follow-up received
SR-0191,2026-06-16,Munting Pulo,Peace and Order,Barangay Referral,Normal,Closed,18.1,3,Yes,Forwarded to concerned office
SR-0192,2026-06-21,Santo Toribio,Water,Hotline,Normal,In Progress,11.6,,No,Citizen follow-up received
SR-0193,2026-02-05,San Lucas,Water,Web Form,Normal,Closed,21.6,4,No,Citizen follow-up received
SR-0194,2026-02-19,Sapac,Solid Waste,Web Form,Normal,Closed,26.3,3,Yes,Forwarded to concerned office
SR-0195,2026-07-15,Sabang,Streetlight,Web Form,High,Closed,10.4,3,Yes,
SR-0196,2026-04-23,Pangao,Road/Drainage,Barangay Referral,Urgent,Closed,8.7,5,No,Citizen follow-up received
SR-0197,2026-04-09,San Lucas,Streetlight,Mobile App,Normal,Closed,40.7,4,No,Forwarded to concerned office
SR-0198,2026-09-09,Balintawak,Road/Drainage,Walk-in,Normal,Pending Validation,22.5,,Yes,
SR-0199,2026-04-18,Santo Niño,Disaster Concern,Walk-in,Normal,Closed,47.7,4,No,Forwarded to concerned office
SR-0200,2026-01-21,Mataas Na Lupa,Permits/Inquiry,Web Form,High,Closed,10.2,3,Yes,Forwarded to concerned office
SR-0201,2026-04-22,Balintawak,Permits/Inquiry,Web Form,Normal,Closed,26.3,5,No,Forwarded to concerned office
SR-0202,2026-04-18,Pangao,Permits/Inquiry,Walk-in,High,Closed,13.3,4,No,Forwarded to concerned office
SR-0203,2026-09-12,Pinagkawitan,Solid Waste,Mobile App,Normal,Closed,22.3,3,No,
SR-0204,2026-07-06,Lodlod,Health,Hotline,Urgent,Closed,6.3,4,No,Citizen follow-up received
SR-0205,2026-08-22,Tambo,Road/Drainage,Barangay Referral,Normal,Closed,54.4,4,No,Forwarded to concerned office
SR-0206,2026-02-21,Pusil,Solid Waste,Mobile App,Normal,In Progress,32.7,,No,Requires site validation
SR-0207,2026-04-19,San Sebastian,Disaster Concern,Walk-in,High,Closed,13.7,4,Yes,Citizen follow-up received
SR-0208,2026-06-28,Lodlod,Water,Web Form,High,Closed,10.1,4,No,Requires site validation
SR-0209,2026-01-27,San Lucas,Disaster Concern,Web Form,Normal,Closed,33.2,5,No,
SR-0210,2026-05-14,Adya,Permits/Inquiry,Web Form,Normal,Closed,8.2,5,No,
SR-0211,2026-08-23,San Jose,Peace and Order,Mobile App,Normal,Closed,18.0,4,Yes,
SR-0212,2026-06-02,Poblacion Barangay 2,Permits/Inquiry,Barangay Referral,Normal,Closed,51.1,5,No,
SR-0213,2026-06-17,Lodlod,Streetlight,Barangay Referral,Normal,In Progress,42.8,,No,Forwarded to concerned office
SR-0214,2026-02-17,Inosloban,Disaster Concern,Barangay Referral,High,Closed,15.9,4,No,Citizen follow-up received
SR-0215,2026-04-02,Duhatan,Water,Web Form,Normal,Closed,48.8,4,No,Citizen follow-up received
SR-0216,2026-04-22,Bulacnin,Streetlight,Hotline,Urgent,Closed,6.7,4,No,Citizen follow-up received
SR-0217,2026-01-17,Sico,Solid Waste,Hotline,Urgent,Closed,17.5,5,No,Forwarded to concerned office
SR-0218,2026-02-08,Talisay,Water,Mobile App,Urgent,Closed,16.7,5,No,Forwarded to concerned office
SR-0219,2026-05-26,San Francisco,Permits/Inquiry,Barangay Referral,Normal,Closed,12.5,4,No,Requires site validation
SR-0220,2026-02-22,San Benito,Permits/Inquiry,Hotline,High,In Progress,9.4,,No,Forwarded to concerned office
SR-0221,2026-01-12,Sabang,Solid Waste,Walk-in,High,Closed,6.0,4,Yes,Requires site validation
SR-0222,2026-03-13,Lodlod,Permits/Inquiry,Barangay Referral,Normal,Pending Validation,2.8,,No,Requires site validation
SR-0223,2026-03-16,Sabang,Streetlight,Hotline,Urgent,Closed,9.6,5,No,
SR-0224,2026-04-30,Kayumanggi,Streetlight,Mobile App,Normal,In Progress,49.0,,No,
SR-0225,2026-05-06,Sapac,Road/Drainage,Mobile App,Normal,Closed,70.3,5,No,Requires site validation
SR-0226,2026-08-11,Antipolo Del Norte,Health,Barangay Referral,Normal,Closed,55.9,5,No,Requires site validation
SR-0227,2026-03-22,Pinagkawitan,Disaster Concern,Walk-in,Normal,Closed,21.6,4,No,Requires site validation
SR-0228,2026-07-02,Bolbok,Road/Drainage,Web Form,Normal,Closed,10.6,4,Yes,Forwarded to concerned office
SR-0229,2026-07-12,Sico,Road/Drainage,Mobile App,Normal,Closed,11.3,3,Yes,
SR-0230,2026-04-22,Inosloban,Health,Mobile App,Low,Closed,23.7,5,Yes,Requires site validation
SR-0231,2026-02-06,Sabang,Peace and Order,Hotline,Normal,Closed,51.4,5,Yes,Requires site validation
SR-0232,2026-01-12,Sapac,Disaster Concern,Web Form,High,Closed,11.0,3,No,Citizen follow-up received
SR-0233,2026-03-01,Marauoy,Solid Waste,Web Form,Normal,Closed,2.6,5,Yes,Requires site validation
SR-0234,2026-08-20,Lodlod,Peace and Order,Mobile App,High,Closed,17.1,5,No,Requires site validation
SR-0235,2026-02-20,Tibig,Solid Waste,Mobile App,Normal,Closed,4.6,3,No,Citizen follow-up received
SR-0236,2026-03-12,Antipolo Del Sur,Peace and Order,Barangay Referral,High,Closed,15.0,4,Yes,Requires site validation
SR-0237,2026-05-27,Latag,Solid Waste,Walk-in,Normal,Closed,23.8,4,Yes,Requires site validation
SR-0238,2026-07-14,Sico,Permits/Inquiry,Mobile App,Normal,Pending Validation,40.1,,No,Forwarded to concerned office
SR-0239,2026-01-01,Poblacion Barangay 9,Road/Drainage,Mobile App,High,Closed,12.0,3,No,Citizen follow-up received
SR-0240,2026-08-17,Pangao,Health,Hotline,Normal,Closed,30.5,4,Yes,Forwarded to concerned office
SR-0241,2026-04-06,Talisay,Health,Mobile App,High,Closed,7.4,4,Yes,Citizen follow-up received
SR-0242,2026-02-12,Tibig,Solid Waste,Walk-in,Normal,In Progress,23.8,,No,
SR-0243,2026-03-11,Sabang,Water,Barangay Referral,Normal,Closed,9.3,5,No,Forwarded to concerned office
SR-0244,2026-07-08,Plaridel,Solid Waste,Barangay Referral,Normal,Closed,8.1,4,No,Requires site validation
SR-0245,2026-02-09,San Jose,Peace and Order,Hotline,High,Pending Validation,3.2,,No,Citizen follow-up received
SR-0246,2026-02-09,Mabini,Peace and Order,Barangay Referral,Normal,Closed,28.5,4,No,
SR-0247,2026-03-26,Sampaguita,Water,Mobile App,High,Closed,14.7,4,Yes,
SR-0248,2026-07-22,San Carlos,Streetlight,Hotline,Normal,Closed,33.6,4,Yes,Requires site validation
SR-0249,2026-06-18,Adya,Peace and Order,Web Form,Normal,Closed,7.8,4,No,Requires site validation
SR-0250,2026-03-13,Poblacion Barangay 7,Solid Waste,Web Form,Normal,In Progress,10.9,,No,Citizen follow-up received
